address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"No. 4/1116, Blake Hr Sec School Road, Maharnonbu Chavadi, Thanjavur",Thanjavur,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Library|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Fitness Equipment|Coffee Shop / Cafe|Disabled Friendly Rooms|Fax Machine|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Internet Access Free|Postal / Parcel Services|Courier Service|Parking Facility|Internet Access|Restaurant|Room Service|Speciality Restaurant,Thanjavur Junction|Thanjavur Royal Palace|Grand Anicut|Great Living Chola Temples|Thanjavur Art Gallery|Thanjavur Railway Junction|Brihadeshwar Temple,Svatma,Hotel,Millennium Deluxe,
"Basin Road,Near Ernakulam Vegetable Market, Near High Court Junction,Ernakulam",Ernakulam,Airport Transfer Available / Surcharge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Extra Person / Child - Share the same room|Food Facility|Newspapers In Lobby|Parking Facility,Ernakulam Junction|Ernakulam|Bolgatty Palace|Jewish Synagogue,St. Antony's Lodge,Lodge,Standard Single,4
"JMJ House ,Hiranandani Gardens, Orchard Ave, Panchkutir Ganesh Nagar, Powai, Mumbai",Mumbai,Airport Transfer Available / Surcharge|Ballroom|Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Spa On Site - Chargeable|Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Wedding Services Facility|Wake-up Call / Service|Sauna|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Disabled Friendly Rooms|Fax Machine|Electronic / Magnetic Keys|Jacuzzi|Wheelchair Accessibility - Room|Massage Services |Smoking Area |Transfers Available|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Yoga Hall / Classes|Whirlpool Bath / Shower Cubicle|Postal / Parcel Services|Room Service (24 Hours)|Voicemail|Party hall|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Adjoining Rooms|RO Water Purification System|Parking Facility,Hiranandani Gardens|Powai|Kanjurmarg Railway Station|Chandivali Studio,The Beatle,Hotel,Deluxe Room,3.9
"House No 8-2-684/3/K/36,Plot No 36, Road No 12, Banjara Hills, Hyderabad - 500034, Near Kanakadurga Temple,Mla Colony",Hyderabad,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup,Hyderabad Deccan Railway Station|Salarjung Museum|Secretariat|Osmania General Hospital|MPM Mall|Mecca Masjid|Birla Mandir|Purani Haveli|NTR Garden|Ravindra Bharti|Mahatma Gandhi Bus Station|Charminar|Snow World|Nampally Railway Station|Laad Bazaar|Chowmahalla Palace|Lumbini Park,SSV Homes,Service Apartment,Standard Room,
"Nehru Park ,Gate No 14, Dal Lake, 190001 Srinagar, India",Srinagar,,Nageen Lake Area|Pari Mahal|Dal Lake|Nishat Bagh|Mughal Gardens|Chashma Shahi|Nagin Lake,Taj Mahal Group of Houseboats,Houseboat,Deluxe room,4
"Village: Tala Bandhavgarh,  Tehsil Manpur, District Umaria, M.P. Pin 484661",Bandhavgarh,Swimming Pool|Bar / Lounge |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Air-Conditioning - Central|Power Backup|Fitness Equipment|Separate Sitting Area|Conference Facility |Campfire / Bon Fire,Village Tala,Syna Tiger Resort,Resort,Luxury Cottages,3.1
"E 1/8 SUDAKSHINA ESTATE (B) ,96, RAJA S. C MALLICK ROAD",Tajpur,Doctor on Call|Parking Facilities Available|Doorman|Outdoor Parking - Secured|Parking Facility,Mallick Road,Tajpur Retreat,Resort,Deluxe Room,
"fifth floor, kashyap business park, big bazaar,bailey road, Patna 800014",Patna,"Airport Transfer Available / Surcharge|Ballroom|Banquet Facilities|Business Center |Concierge|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Computer Rental|Wedding Services Facility|Dance Performances (on demand)|Catering|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Grocery|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Disabled Friendly Rooms|Electronic / Magnetic Keys|Multi - Line Phone|Floor Butler|Cell Phone Rental|Wheelchair Accessibility - Room|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Meditation Room|Water Dispenser Available|Taxi Services|Mini Theatre|City Shuttle Service|Karaoke |Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Yoga Hall / Classes|Electronic Check-Out|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Laptop Available on Hire|Internet / Fax (Reception area only)|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Flower Shop|Full Time Operation for All 7 Days|Hotel Trading License|Metal Detectors|Paid Transfers|Pest Control Facility|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Speciality Restaurant",Lok Nayak Jayaprakash Airport|Phulwari Sharif|Jewar Market|Mahavir Mandir|Patna Museum|Bailey Road|Patna Railway Station|Patna Golf Club,The AVR Hotels and Banquets,Hotel,AVR Premium Room,2
"1901, Sai Sapphire building, powai vihar complex, near maple resturant, powai, mumbai 400076.",Mumbai,"Swimming Pool|Airport Transfer Available / Surcharge|Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Catering|Translation Services|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Grocery|Coffee Shop / Cafe|Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Limousine Service Available|Fire Place Available |Floor Butler|Free Local Calls|Picnic Area|Cell Phone Rental|Wheelchair Accessibility - Room|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Open Air Restaurant / Dining |Transfers Available| Bike on Rent|Veg / Non Veg Kitchens Separate |Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Meditation Room|Water Dispenser Available|Self Check - In|Taxi Services|Pool Cafe|City Shuttle Service|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Parking (Surcharge)| Cook Services|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Internet / Fax (Reception area only)|Adjoining Rooms|Courtesy Coach|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Fire Safety|Anti-Slip Ramps|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Flower Shop|Hotel Trading License|Paid Transfers|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Suites",Chhatrapati Shivaji International Airport|Chandivali Studio|Powai|Vikroli Railway Station|Kanjurmarg Railway Station|Marol Naka|Ghatkopar Railway Station,Ssapphires Hospitalities (Sai Sapphire),Service Apartment,Deluxe,4.8
"takdah cantonment , Post takdah",Darjeeling,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Welcome Drinks|Power Backup|Express Laundry|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,Others,Takdah heritage colonial,Bungalow,Double Bed Room,
"H.no 74, Sector 2, Vibhav Nagar, Agra",Agra,Laundry Service Available|Parking Facilities Available|Internet Access Free|Room Service (24 Hours)|Fire Safety,,TajMahal Home Stay,BnB,Standard Room,
"C117,  South City 2, C-Block, Gurgaon",Gurgaon,Lift / Elevator|Locker Facility|Power Backup|Internet Access Free|Parking Facility|Room Service,Infospace|Celebration Mall|Emaar MGF Palm Square|Good Earth City Centre|Old Gurgaon|Cyber Park|Tau Devi Lal Stadium|Huda Gymkhana Club|SPADE INFOTECH PVT LTS|Artemis Hospital|HSBC Bank|Medanta Hospital|Omaxe Celebration Mall,Supreme Residency C-117,Hotel,Deluxe Room,
"A-3, District Centre,Select Citywalk, Saket",Delhi,Swimming Pool|Business Center |Concierge|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Power Backup|Suitable For Children|Car Rental|Room Service (24 Hours)|Internet Access|Room Service|Public Restrooms|Suites,Saket|Metro Station Hauz Khas|Khirki Masjid|Qutab Golf Course,Svelte Hotel &amp; Personal Suites,Hotel,Executive room,3.9
"Plot #51, Hill Top Colony, Near Govt. Rest House, Khandala, Lonavala, Maval- 410301 Dist. Pune",Khandala,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Billiards|Doctor on Call|Games Zone|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Table Tennis|24 Hour Front Desk|Power Backup|Gardens|Suitable For Children|Conference Facility |Wheelchair Accessibility - Room|Pool Table|Smoking Area |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Air / Rail Booking|Courier Service|Outdoor Parking - Non Secured|Parking Facility,Kamat Restaurant|Shooting Point|DC High school|khandala lake|Monkey Hill|Amrutanjan Point|Reversing Station|Rajmachi Fort|Hilltop Colony,Sunrise Hill Resort,Resort,Executive Room,3.8
Near Library Chowk Mall Road Kapurthala Palace,Mussoorie,Currency Exchange|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Power Backup|Fire Place Available |Discotheque |Internet Access Free|Family Room|Party hall|RO Water Purification System|Restaurant|Room Service,,Sun N Snow Mussoorie,Hotel,Deluxe Room,4.2
"958, Russel Chowk ,Napier town",Jabalpur,"Airport Transfer Available / Surcharge|Banquet Facilities|Beauty Salon - on charge|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Gardens|Computer Rental|Wedding Services Facility|Catering|Wake-up Call / Service|Separate Sitting Area|Grocery|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Kitchen available (home cook food on request)|Multi - Line Phone|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Open Air Restaurant / Dining |Transfers Available|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Water Dispenser Available|Taxi Services|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant",Rani Durgavati Memorial and Museum|Napier Town|Pisan Hari Jain Temple,The Arihant Palace,Hotel,Deluxe Room,3.9
"Deachur, Coorg",Coorg,Doctor on Call|Power Backup|Wake-up Call / Service|Parking Facility|Room Service,Abbey Falls|Omkareshwara temple|Madikeri Fort|Madikeri Bus stand|Mercara Downs Golf Club|Others|Gaddige,Sweet Home Stay,Homestay,Standard,
"Plot Number 2053, Sector 45A, Chandigarh",Chandigarh,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby|RO Water Purification System|Parking Facility|Internet Access,Mohali Cricket Stadium|Sector 45|Chandigarh Airport|Piccadily Cinema|Sector 17 City Centre|Landmark Hospital|Babe di Hatti|Sector 35 Market,SUPREMO HOTEL,Hotel,Deluxe AC Room,3.7
Nam Nang Road,Gangtok,Laundry Service Available|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup,"Helipad|New College Building, SMIMS|Raj Bhawan|Denzong Cinema|Military Hospital|Paljor Stadium|Fambong La Wildlife Sanctuary|Nehru Botanical Garden|Devlopment Area|Directorate of Handloom and Handicrafts (DHH)|Sikkim Government Law College|Do-Drul Chorten or Stupa|Banjhakri Falls|Diet College, Burtuk|ICFAI University|Bakthang Waterfalls|Hanuman Tok|Manipal Central Referral Hospital|Nam Nang Road|Sikkim Govt. College|Barad Sadan Academic Block, Sikkim University|Thakurbari Temple and Dharamshala",Sukhim Guest House,Guest House,Double Room,4
"Suraj lodge Building, Ram Mandir road, Bhandara H O, Bhandara",Bhandara,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Suitable For Children|Veranda|Taxi Services|Family Room|RO Water Purification System|Parking Facility|Fire Safety|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk,Main Road,Suraj Lodge,Lodge,Luxury Non Ac Room,4
"6/1, Bangiyappa Garden,Lakshmi Road,5th Cross, Shantinagar",Bangalore,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Local Tour / Travel Desk|Power Backup|Internet Access Free|Newspapers In Lobby,,Sun Shine Serviced Apartments,Service Apartment,Luxury Room,3.4
": Nehru Garden Rd, Madan Flour Mill Chowk, Gobind Garh, Arjun Nagar, Jalandhar, Punjab 144001",Jalandhar,Front Desk|Doorman|Room Service (24 Hours)|Outdoor Parking - Secured|Fire Safety|First-Aid Kit at Front Desk,Devi Talab Mandir|Jawahar Nagar Area|St. Mary Church|Shiv mandir,Suri Guest House,Guest House,Deluxe Room,3
"NH 47, Near SCMS Kalamassery, Cochin Kerala",Cochin,Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Welcome Drinks|Coffee Shop / Cafe|Conference Facility |Open Air Restaurant / Dining |Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,Marine Drive|Fort Cochin|Chinese Fishing Nets|Mattancherry Palace|Kochi Backwaters|Others,Summit Suites,Hotel,Deluxe Suite,3.8
"L 27/12, Phase-II, Behind Central Mall, M.G. Road,Gurgaon",Gurgaon,Doctor on Call|Power Backup|Wake-up Call / Service|Parking Facility|Room Service,Sahara Mall|Kingdom of Dreams|Star Mall|Gallaria Market|Guru Dronacharya Metro Station|Ambience Mall|Vipul Agora Mall|Amity International School|Signature Tower|Iffco Chowk|DLF Star Mall|Paras Hospitals|Leisure Valley Park|Max Hospital|Fortis Memorial Research Institute|Huda City Center Metro Station|Sikandarpur Metro Station|Fluid Gym|Dlf Phase I I|MG Road metro Station|Oysters Beach Water Park,STEPiNN phase 2,Guest House,Super Deluxe Room,
"18, Park Side Road, Rash Behari Avenue, Kalighat, Kolkata, West Bengal",Kolkata,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk,,Thara Mahal,Hotel,STANDARD ROOM,
"Tabernacle Homestay  Edayady, Olamattom, Thodupuzha  Idukki, Kerala, India",Thodupuzha,Doctor on Call|Lobby|Pets Allowed|Front Desk|Locker Facility|Outdoor Parking - Non Secured,"Edayady, Olamattom",TABERNACLE HOMESTAY,Homestay,DELUXE ROOM,
"Garkhal,Near Sai Baba Temple, Kasauli Himachal Pradesh (173209),India",Kasauli,Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Wake-up Call / Service|Coffee Shop / Cafe|Taxi Services|Food Facility|Internet Access Free|Room Service (24 Hours)|Parking Facility,Manki Point|Garkhal|Gilbert Trail,Stella Home Dreamland Kasauli,BnB,Premium Room,3.6
